t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
2.88,0.0,0.0,0.0,0.0,0.0,0.0,2.79236325723,0.0391492565421,209.957661466,22.6688781657,-3.71710850855,0.0928489177481
2.91,0.0,0.0,0.0,0.0,0.0,0.0,4.24881266016,0.077883686015,211.209781299,22.9259451682,-5.23014242345,-0.15400314801
2.94,0.0,0.0,0.0,0.0,0.0,0.0,5.60199983129,0.114043498898,211.943936851,23.0530077365,-6.92239947307,-0.394454316473
2.97,0.0,0.0,0.0,0.0,0.0,0.0,6.59485272523,0.244688206511,212.337704137,23.0377090873,-8.98430867815,-0.585224592936
3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69780766492,0.506568499778,212.59571158,22.9003776806,-11.8513321242,-0.655744815162
3.03,0.0,0.0,0.0,0.0,0.0,0.0,4.84480728685,0.900669950419,213.045794968,22.6893981521,-16.3934939697,-0.473271657917
3.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.93396281849,1.36459608535,214.243026676,22.5153246272,-24.1656093044,0.206636717833
3.09,0.0,0.0,0.0,0.0,0.0,0.0,-14.1234205903,1.63278930666,217.000617484,22.6601547764,-37.6977223442,1.83480743957
3.12,0.0,0.0,0.0,0.0,0.0,0.0,-40.8722696936,0.857857326775,222.250144501,23.9319893734,-60.73681424,5.29706713226
3.15,0.0,0.0,0.0,0.0,0.0,0.0,-91.8875779857,-2.95864759539,232.397395905,28.643300549,-98.287653734,12.3820383406
3.18,0.0,0.0,0.0,0.0,0.0,0.0,-180.648388615,-5.06809683215,315.388039616,39.6541793766,-158.176203687,24.4133404995
3.21,0.0,0.0,0.0,0.0,0.0,0.0,18.7408150076,-0.125645763124,40.2462001495,-0.0673883574303,2.94995840546,-0.116271474902
3.24,32.5560127975,11.6438386819,46.337216372,-2.92717577598,31.4487625256,-4.17330774802,84.4901979119,13.6476547226,146.211329607,-4.33856231585,44.592801531,-2.85558741855
3.27,154.363557548,-25.8871834682,312.008357088,-18.9369120258,112.431121533,35.6059449469,0.0,0.0,0.0,0.0,0.0,0.0
3.3,59.2179012216,-4.18505239653,229.054986848,-22.3211861811,70.4349574648,8.73711006005,0.0,0.0,0.0,0.0,0.0,0.0
3.33,11.9714740433,-0.707455799277,224.336606499,-23.6653834028,40.8076969019,0.453041233285,0.0,0.0,0.0,0.0,0.0,0.0
3.36,-4.45412949747,0.508261123271,220.344272586,-24.3292353726,24.1565787586,-1.58546188799,0.0,0.0,0.0,0.0,0.0,0.0
3.39,-9.03559901028,0.919719830701,218.265072717,-24.5509843724,15.5203433154,-1.80828797235,0.0,0.0,0.0,0.0,0.0,0.0
3.42,-9.23895053063,0.974476854413,217.601208632,-24.5805478796,11.1576984262,-1.58871208961,0.0,0.0,0.0,0.0,0.0,0.0
3.45,-7.88977857298,0.880406198988,217.421287124,-24.5211531633,8.75045179198,-1.29485109875,0.0,0.0,0.0,0.0,0.0,0.0
3.48,-6.1594378704,0.736185542915,217.156960024,-24.3974094231,7.04813332633,-1.02690053806,0.0,0.0,0.0,0.0,0.0,0.0
3.51,-4.54240705843,0.577001356299,216.546784511,-24.2046301486,5.4747807187,-0.816173366775,0.0,0.0,0.0,0.0,0.0,0.0
3.54,-3.19151710104,0.410582844517,215.455570842,-23.925318249,3.83658061387,-0.668878386385,0.0,0.0,0.0,0.0,0.0,0.0
3.57,-2.0788750521,0.259470078545,213.747999577,-23.5393449234,2.13718840003,-0.57719748871,0.0,0.0,0.0,0.0,0.0,0.0
3.6,-1.09108243941,0.211295526505,211.228883498,-23.0496538955,0.466360273726,-0.521108514321,0.0,0.0,0.0,0.0,0.0,0.0
3.63,-0.0779421979654,0.418100313284,207.785729015,-22.5635225891,-1.08371264069,-0.466743695451,0.0,0.0,0.0,0.0,0.0,0.0
3.66,0.896233395975,0.395531340623,207.109538622,-22.450374142,-2.64264422822,-0.350434508196,0.0,0.0,0.0,0.0,0.0,0.0
3.69,1.96556615626,0.102912272925,209.377264869,-22.7093546828,-4.33746966822,-0.155392467856,0.0,0.0,0.0,0.0,0.0,0.0
3.72,3.15031673612,-0.00391367472864,211.000655673,-22.9672653947,-6.11061864397,0.0657050049677,0.0,0.0,0.0,0.0,0.0,0.0
3.75,4.24494267465,-0.0863077761961,212.040217858,-23.1040784532,-8.03352193223,0.27658152469,0.0,0.0,0.0,0.0,0.0,0.0
3.78,5.01503477383,-0.247832169363,212.664257099,-23.101974001,-10.2687521892,0.436565911298,0.0,0.0,0.0,0.0,0.0,0.0
