t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
2.4,20.1249267115,0.449918686708,44.9780573616,-0.0254275898999,3.23465182968,0.0228436943543,0.0,0.0,0.0,0.0,0.0,0.0
2.43,82.6244315474,-14.526526367,167.526962458,4.13823862081,43.6472608583,2.69118397029,31.3009710931,-13.4238761241,44.5448250046,3.17950850677,30.9072576355,4.36209469717
2.46,0.0,0.0,0.0,0.0,0.0,0.0,154.888189402,25.3480709099,321.962863504,20.8117930829,114.987888848,-35.9308314509
2.49,0.0,0.0,0.0,0.0,0.0,0.0,60.7709486302,3.61701667811,225.410321365,22.2994330117,71.1851796983,-8.9119800353
2.52,0.0,0.0,0.0,0.0,0.0,0.0,11.5611649452,0.89513969586,220.912339023,22.9822809928,40.2354818739,-0.42132634957
2.55,0.0,0.0,0.0,0.0,0.0,0.0,-5.774386305,-0.0786641733758,217.400704423,23.5604481403,22.9747029016,1.72049835965
2.58,0.0,0.0,0.0,0.0,0.0,0.0,-10.5564858745,-0.507618381339,215.734586412,23.8767748718,14.1455481078,1.96602813014
2.61,0.0,0.0,0.0,0.0,0.0,0.0,-10.6476636083,-0.663234985321,215.434007187,24.0367375784,9.81494725431,1.73406171792
2.64,0.0,0.0,0.0,0.0,0.0,0.0,-9.09012164006,-0.673501917859,215.580092254,24.0983754933,7.54579655043,1.41916133233
2.67,0.0,0.0,0.0,0.0,0.0,0.0,-7.13825005857,-0.609991117013,215.618602753,24.0750950467,6.02339760089,1.13041518358
2.7,0.0,0.0,0.0,0.0,0.0,0.0,-5.30375303412,-0.501708288028,215.312883096,23.9621901386,4.64573085211,0.899677548934
2.73,0.0,0.0,0.0,0.0,0.0,0.0,-3.73137598694,-0.355294310525,214.562832748,23.7454165782,3.21457250324,0.731192631661
2.76,0.0,0.0,0.0,0.0,0.0,0.0,-2.37979530046,-0.190552361379,213.276841604,23.4078632258,1.73676697533,0.615340972563
2.79,0.0,0.0,0.0,0.0,0.0,0.0,-1.1294973594,-0.0888870206932,211.307776421,22.9545475169,0.301999132068,0.532281347779
2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.157520967632,-0.203737045212,208.541200999,22.4933695209,-1.00675538865,0.451170187473
2.85,0.0,0.0,0.0,0.0,0.0,0.0,1.42875213159,-0.168881524362,208.065556091,22.3985348567,-2.3017569478,0.31093705938
2.88,0.0,0.0,0.0,0.0,0.0,0.0,2.79236753604,0.0391497851553,209.957668147,22.6688785126,-3.71710477848,0.0928487361169
2.91,0.0,0.0,0.0,0.0,0.0,0.0,4.24881806627,0.077883909041,211.20978519,22.9259453296,-5.23013773659,-0.154003683363
2.94,0.0,0.0,0.0,0.0,0.0,0.0,5.60200639311,0.11404332289,211.943938412,23.0530080361,-6.92239391581,-0.394454726305
2.97,0.0,0.0,0.0,0.0,0.0,0.0,6.59485960281,0.244687895086,212.337707683,23.037709748,-8.98430233324,-0.585225850401
3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69781438828,0.50656850332,212.595708923,22.900377017,-11.8513269582,-0.655744999252
3.03,0.0,0.0,0.0,0.0,0.0,0.0,4.84481309664,0.900669953546,213.045795095,22.6893979254,-16.3934895859,-0.473272365273
3.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.933958630952,1.36459563306,214.243027305,22.5153248371,-24.1656071087,0.206636194425
3.09,0.0,0.0,0.0,0.0,0.0,0.0,-14.1234198669,1.63278847263,217.000619712,22.6601554979,-37.6977243409,1.83480723663
3.12,0.0,0.0,0.0,0.0,0.0,0.0,-40.872274649,0.857856285408,222.250149411,23.9319906866,-60.736822757,5.29706758633
3.15,0.0,0.0,0.0,0.0,0.0,0.0,-91.8875905184,-2.95864787123,232.397400389,28.6433013357,-98.2876707619,12.3820397104
3.18,0.0,0.0,0.0,0.0,0.0,0.0,-180.648408298,-5.06809729809,315.388000792,39.6541757514,-158.176226853,24.4133425857
3.21,0.0,0.0,0.0,0.0,0.0,0.0,18.7408237196,-0.125646418993,40.2462235339,-0.0673883402608,2.94996000749,-0.116271595486
3.24,32.5560036506,11.6438330103,46.3372033511,-2.92716982497,31.4487516746,-4.17330719193,84.4901803027,13.6476461407,146.211349636,-4.33855385768,44.5927899396,-2.85558608
3.27,154.363551509,-25.8871830694,312.008358925,-18.9369128215,112.431127716,35.6059442293,0.0,0.0,0.0,0.0,0.0,0.0
3.3,59.217912206,-4.18504265879,229.054974717,-22.3211899474,70.4349649244,8.73710972558,0.0,0.0,0.0,0.0,0.0,0.0
3.33,11.9714847219,-0.707450321858,224.33660427,-23.6653869402,40.8077039994,0.453041719615,0.0,0.0,0.0,0.0,0.0,0.0
3.36,-4.4541213148,0.508262733504,220.344271964,-24.3292369952,24.1565839043,-1.58546085408,0.0,0.0,0.0,0.0,0.0,0.0
3.39,-9.03559507571,0.919719304853,218.265074308,-24.5509858248,15.5203448382,-1.80828781972,0.0,0.0,0.0,0.0,0.0,0.0
3.42,-9.2389487807,0.974475645495,217.601208295,-24.5805484482,11.1576971267,-1.58871210608,0.0,0.0,0.0,0.0,0.0,0.0
3.45,-7.88977955319,0.880406097235,217.421285615,-24.5211528165,8.75044996534,-1.29485114819,0.0,0.0,0.0,0.0,0.0,0.0
3.48,-6.15943936707,0.736185635733,217.156958703,-24.3974100783,7.04812921726,-1.02690017305,0.0,0.0,0.0,0.0,0.0,0.0
3.51,-4.54241022883,0.57700200494,216.546782536,-24.2046308659,5.47477533681,-0.816173730783,0.0,0.0,0.0,0.0,0.0,0.0
3.54,-3.19152227222,0.410583366876,215.455573465,-23.9253202057,3.83657544915,-0.66887994193,0.0,0.0,0.0,0.0,0.0,0.0
3.57,-2.07887843012,0.259471656661,213.74800065,-23.5393470661,2.13718270981,-0.577197505594,0.0,0.0,0.0,0.0,0.0,0.0
3.6,-1.09108507372,0.21129660379,211.228888832,-23.049656809,0.46635524105,-0.521108908707,0.0,0.0,0.0,0.0,0.0,0.0
3.63,-0.077942483388,0.418100907479,207.785734817,-22.5635249986,-1.08371717737,-0.466743254896,0.0,0.0,0.0,0.0,0.0,0.0
3.66,0.896233429449,0.395531743842,207.109546131,-22.4503767029,-2.64264746973,-0.350434206367,0.0,0.0,0.0,0.0,0.0,0.0
3.69,1.96556594722,0.102913079239,209.377269365,-22.7093568972,-4.3374720538,-0.15539251481,0.0,0.0,0.0,0.0,0.0,0.0
3.72,3.1503163324,-0.00391292624782,211.000658154,-22.967267008,-6.11061987266,0.0657046584438,0.0,0.0,0.0,0.0,0.0,0.0
3.75,4.24494318448,-0.0863071011919,212.040217453,-23.1040789565,-8.0335222018,0.27658156,0.0,0.0,0.0,0.0,0.0,0.0
3.78,5.01503660815,-0.247830870473,212.664252455,-23.1019735883,-10.2687513484,0.436566286463,0.0,0.0,0.0,0.0,0.0,0.0
3.81,4.98730841129,-0.532673089453,213.066645801,-22.9744296821,-13.1945268672,0.481649528016,0.0,0.0,0.0,0.0,0.0,0.0
3.84,3.20203429996,-0.948260957189,213.548310447,-22.7614028505,-17.5781111236,0.291911500492,0.0,0.0,0.0,0.0,0.0,0.0
3.87,-2.11665124439,-1.43575398667,214.601370252,-22.5593112505,-24.8034257619,-0.350005149566,0.0,0.0,0.0,0.0,0.0,0.0
3.9,-14.1160564026,-1.71951052442,216.901640516,-22.6245143334,-37.1352975577,-1.83888284174,0.0,0.0,0.0,0.0,0.0,0.0
3.93,-38.4497934022,-0.878005348357,221.173140514,-23.7630804557,-57.9422427271,-4.97357814386,0.0,0.0,0.0,0.0,0.0,0.0
3.96,-85.4403587097,3.27769209821,230.764150523,-28.5597779209,-91.8001386947,-11.5168838342,0.0,0.0,0.0,0.0,0.0,0.0
3.99,-169.341904996,5.20091551357,326.724019068,-40.8336301524,-147.011770709,-23.2822675471,0.0,0.0,0.0,0.0,0.0,0.0
4.02,16.8904696466,0.199827382373,35.5901390427,-0.0226967575733,2.61866718424,-0.00801852349439,0.0,0.0,0.0,0.0,0.0,0.0
4.05,81.8378927849,-14.6416357106,168.956814198,4.04718229931,41.5243137989,2.59408906176,35.0068609758,-13.2340395143,49.8597540184,3.06480706437,33.7267575113,4.25274879287
4.08,0.0,0.0,0.0,0.0,0.0,0.0,155.066405875,30.5037822542,320.578614175,17.2100495623,109.238732369,-36.6484062536
4.11,0.0,0.0,0.0,0.0,0.0,0.0,56.9356010429,3.85696918444,227.170200813,22.8057343747,67.2673550662,-8.31191699055
4.14,0.0,0.0,0.0,0.0,0.0,0.0,9.04672023162,-0.346388982938,220.804259185,24.0913639256,37.9044538458,0.0829075049446
4.17,0.0,0.0,0.0,0.0,0.0,0.0,-6.68542938724,-1.25634456017,217.001775151,24.3920013941,22.1023761623,1.94229890927
4.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.3437874257,-1.2847643541,215.401121837,24.3639724505,14.3524917673,1.98769784371
4.23,0.0,0.0,0.0,0.0,0.0,0.0,-9.79682402636,-1.0835822469,215.255418375,24.2839823688,10.6672383806,1.64414028628
4.26,0.0,0.0,0.0,0.0,0.0,0.0,-7.95334938514,-0.859388368759,215.502543431,24.2012319725,8.68325860596,1.27564331105
4.29,0.0,0.0,0.0,0.0,0.0,0.0,-5.96657154275,-0.667401974877,215.526363824,24.0930035604,7.18696414034,0.970813547261
4.32,0.0,0.0,0.0,0.0,0.0,0.0,-4.27756627021,-0.503776296444,215.063329424,23.925575841,5.66179178162,0.749859053415
4.35,0.0,0.0,0.0,0.0,0.0,0.0,-2.97827805874,-0.349602026724,213.98785073,23.6646315514,3.97092529135,0.609570610318
4.38,0.0,0.0,0.0,0.0,0.0,0.0,-1.98504764198,-0.211457734086,212.16986023,23.2797158831,2.1659811455,0.534646779499
4.41,0.0,0.0,0.0,0.0,0.0,0.0,-1.13573772191,-0.170868018575,209.418403004,22.7700068861,0.377551786134,0.499074216191
4.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.240806476858,-0.384224460233,205.693016267,22.2581054011,-1.26839051033,0.463856569478
4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.606359580306,-0.352383961478,205.243499088,22.1724509245,-2.92589579432,0.364244995904
4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.56922688877,-0.0466795045826,208.159564387,22.5119195999,-4.71477076827,0.181082154805
4.53,0.0,0.0,0.0,0.0,0.0,0.0,2.71836919533,0.0569921455196,210.27197845,22.8445104674,-6.53218061195,-0.0349773118245
4.56,0.0,0.0,0.0,0.0,0.0,0.0,3.83894094975,0.130163310299,211.611033469,23.0347167392,-8.44683893985,-0.246991299922
4.59,0.0,0.0,0.0,0.0,0.0,0.0,4.69952050739,0.282237672517,212.379518141,23.065100078,-10.6115736716,-0.41540894422
4.62,0.0,0.0,0.0,0.0,0.0,0.0,4.83173029583,0.564049919965,212.800255167,22.9484233142,-13.390840917,-0.477000220663
4.65,0.0,0.0,0.0,0.0,0.0,0.0,3.2573490144,0.996675078464,213.195661654,22.7173154861,-17.5472392064,-0.30800061777
4.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.88402412385,1.54611794384,214.088553342,22.4550682967,-24.4958545642,0.3248095135
4.71,0.0,0.0,0.0,0.0,0.0,0.0,-13.9551856714,1.96836154966,216.240519247,22.4117610766,-36.6183449669,1.85399902078
4.74,0.0,0.0,0.0,0.0,0.0,0.0,-39.0321021436,1.33560013985,220.641481395,23.4371867376,-57.5725521313,5.13857079367
4.77,0.0,0.0,0.0,0.0,0.0,0.0,-88.1149217475,-2.75129911558,231.490752357,28.2999906186,-92.559905017,11.9701889773
4.8,0.0,0.0,0.0,0.0,0.0,0.0,-176.58920986,-5.9104967549,324.956187387,41.1415737995,-151.115800801,24.0701086912
4.83,0.0,0.0,0.0,0.0,0.0,0.0,16.0032381888,0.0778415917683,33.2364318665,-0.062734772951,2.45677093394,-0.0684959536483
